,QLabel
"does the employer provide the correct amount of time off for maternity rest, including in cases of miscarriage",480
does the employer comply with legal requirements when subcontracting part of its work to another enterprise,480
does the employer provide an adequate day care facility for the children of women workers,474
does the employer pay workers correctly for annual leave (14 or 21 days),474
does the employer pay workers 150% of their normal wage for overtime worked on weekly rest days and public holidays,474
did the employer resolve individual grievances and disputes in compliance with legal requirements,474
does the factory have a valid business license? (business licenses require building safety approvals),474
does the employer pay workers the required seniority bonus,474
does the employer provide unions with access to bulletin boards in the workplace,474
do the factory bylaws comply with jordanian legal requirements and were they communicated to workers,474
does the employer provide adequate washing facilities and cleaning materials in the event of exposure to hazardous chemicals,474
do regular working hours exceed 11 hours per day or 48 hours per week,474
does the employer record work-related accidents and diseases,474
"does the employer pay at least minimum wage for ordinary hours of work to casual workers, temporary workers, and probationary workers",474
"do workers who are under age 18 perform work that is hazardous, including working overtime, at night, or more hours than allowed by law",474
does the workplace have adequate and accessible fire-fighting equipment,474
"does the employer keep a chemical inventory, and ensure that all chemicals and hazardous substances are properly labelled and have safety data sheets",474
"when provided as in-kind payment, does the employer give workers enough food of decent quality",474
are workers informed about the cba,474
does the factory employ the required osh specialists,474
does the employer pay workers correctly during idle periods or work stoppages,474
does the workplace have adequate changing rooms/lockers to meet the needs of workers,474
"do job announcements refer to the applicant's gender and/or is an applicant's gender a factor in decisions regarding hiring, opportunities for promotion or access to training, termination and/or retirement of workers",474
"is race, colour, origin or citizenship status a factor in decisions regarding pay",474
has the employer formed a joint worker/management osh committee,474
"are the aisles and emergency exits accessible, unobstructed and unlocked during working hours, including overtime",474
does the employer pay workers 125% of their normal wage for all ordinary overtime hours worked,474
does the employer collect and forward workers' contributions to social insurance funds on time,474
"has the employer taken actions to assess, monitor, prevent and/or limit workers' exposure to hazardous chemicals",474
have you found any workers under the age of 16,474
does the employer provide one hour per day for breastfeeding breaks,474
do the employment contracts comply with jordanian legal requirements,474
does the employer provide workers with a copy of their contract,474
are workers effectively trained to use the personal protective equipment and machines,474
does the accommodation have adequate eating and living areas,474
"is the accommodation adequately protected against heat, cold, dampness, and noise, and is it adequately ventilated and lit",474
are trained first aid personnel and adequate first aid supplies available in the accommodation,474
do in-kind wage payments comply with workers' employment contracts,474
does the accommodation have adequate cooking facilities,474
does the employer comply with legal requirements regarding the hiring of disabled workers,474
does the employer correctly calculate and send the employer contribution to the social security corporation,474
"is the accommodation clean, and protected against disease carrying animals or insects",474
"does the employer comply with documentation requirements for workers under age 18, and have a reliable system in place to verify the age of workers prior to hiring",474
do the migrant workers have valid work permits and residence ids,474
"is race, colour, origin or citizenship status a factor in decisions regarding conditions of work and/or opportunities for promotion or access to training",474
does the employer maintain a personnel file for each worker,474
"does the employer correctly calculate, collect, and forward workers' contributions to the social security corporation",474
does the accommodation have laundry facilities,474
"does the employer comply with legal requirements regarding severance pay, and do workers receive contractually required entitlements upon expiration of their contracts",474
is the probationary period limited to 3 months,474
have workers paid unauthorized fees to recruitment agents,474
does the employer provide workers at least 14 days of sick leave,474
does the employer have written plans for osh programs,455
does the factory have a functioning joint union-management committee,375
are workers paid within seven days from the date wages become payable,375
"have you found non-compliance with legal requirements for compensation, contracts, osh, and/or working time pertaining to non-production workers and/or sub-contracted workers",357
does the employer pay workers the correct compensation for work-related accidents and diseases,357
"are boilers registered or certified, as legally required",357
does the employer only terminate or dismiss workers for valid reasons,357
does the employer have legally required construction permits/ structural safety certificates/ fire license,357
"are electrical wires, cables, switches, plugs and equipment (e.g. transformer, generator, electrical panel, circuit breakers, electrical boilers) properly installed, grounded (for equipment), maintained, and certified",357
do workers have an opportunity to defend themselves before they are dismissed or punished based on their conduct or performance,357
does the factory have a qualified welfare officer/s,357
does the workplace have adequate washing facilities and adequate soap,357
does the employer pay workers correctly when they take compensatory days off after working on weekly rest day(s),357
does the factory have a valid business license,357
does the employer compensate workers for unused paid annual leave and unused earned compensatory rest day/s when they resign or are terminated,357
"has the employer properly established a provident fund when required, deposited the worker and employer contributions into the fund, and invested and distributed the fund as required",357
do the technicians for electrical installations and boiler operators have the legally required license/ certification,357
does the employer pay workers correctly during the rest time before and after childbirth,353
does the employer provide 1.5 months of maternity rest before a worker’s estimated due date and another 1.5 months after delivery,353
does the employer comply with the law and regulations on subcontracting part of its work to another enterprise,353
does the employer pay the required contributions for social insurance (bpjs ketenagakerjaan) and health care funds (bpjs kesehatan) to bpjs,353
does the employer provide required medical services,353
does the employer collect and forward all workers' contributions for social insurance (bpjs ketenagakerjaan) and health care funds (bpjs kesehatan),353
does the employer provide required annual leave to workers with at least 12 months' experience,350
does the employer deduct union dues from workers' wages when they request this in writing,343
"does the employer provide workers at least 14 working days of annual leave per year, or 21 working days after 5 years of service",343
"are workers paid on time, twice per month",293
are wages paid regularly and on time,273
does the employer pay udc workers the correct seniority indemnity,269
has the employer effectively trained workers and supervisor who work with or are responsible for hazardous chemicals,249
are pregnant workers provided time off for prenatal visits,249
do regular daily working hours exceed 10 hours,247
does the employer inspect and measure the environmental conditions in the workplace on a annual basis,247
does the employer pay at least the applicable legal minimum wage for ordinary hours of work to regular full time workers who perform the simple work under normal conditions,247
"are electrical wires, switches, plugs and appliances properly installed, grounded, and maintained",247
does the employer provide  workers with all necessary personal protective clothing and equipment,247
does the employer comply with the monthly limits on overtime hours worked,247
does the employer pay workers correctly when they take compensatory days off after working on weekly rest days,227
does the employer comply with limits on the period of employment for training workers,227
does the employer have legally required construction permits/ structural safety certificates,227
does the factory have a qualified welfare officer,227
do workers have an opportunity to defend themselves before they are dismissed based on their conduct or performance,227
"are electrical wires, switches, plugs and appliances properly installed, grounded, regularly checked and maintained",227
"has the employer properly established a provident fund when required, and deposited the worker and employer contributions into the fund",209
"are electrical wires, switches and plugs properly installed, grounded, maintained and certified",209
has the factory obtained a business license and submitted a notice to the chief inspector before starting operations,209
does the employer pay workers their annual salary supplement or bonus upon termination,161
"does the employer dismiss workers or force them to resign if they are pregnant, on maternity leave or nursing",161
does the employer pay 3% of workers' basic salary to ofatma for maternity and health insurance,161
does the employer provide at least 15 days of annual leave to workers with 1 year of service,161
does the employer pay workers their annual salary supplement or bonus,161
does the employer have chemical safety data sheets for all the hazardous chemicals used in the workplace,161
does the employer record work-related accidents and diseases and submit the record to ofatma on a monthly basis,161
does the workplace have all required facilities,161
does the employer provide required breastfeeding breaks,161
does the employer pay workers 50% above the normal wage for all ordinary overtime hours worked,161
does the employer pay the required employer contribution to ona,161
do workers who have been exposed to work-related hazards receive free health checks,161
is gender or marital status a factor in decisions regarding conditions of work,161
"do the contracts comply with the labour code, collective agreement and internal work rules",161
do the internal work rules comply with legal requirements,161
"does the employer provide workers proper notice of termination when required, or pay workers during the notice period",161
does the employer comply with the daily break period,161
has the employer ensured there are a sufficient number of readily accessible first aid boxes/supplies in the workplace,161
"does the employer comply with legal requirements before suspending workers or reducing the size of the workforce due to changes in operations, lack of materials, force majeure, or accident resulting in an immediate work stoppage",156
does the employer collect and forward workers contributions to ofatma,156
has the employer terminated workers or not renewed a worker's employment contract due to the worker's union membership or activities,156
are workers' full wages paid directly to workers at the workplace on working days,156
do the written employment contracts specify the terms and conditions of employment,156
does the employer terminate workers for reasons that are invalid under national law,156
does the employer collect and forward workers' contributions to ona,156
do workers have annual medical checks,150
does the employer pay workers correctly for legally mandated holidays,133
"does the employer provide workers at least 14 days of paid annual leave per year, or 21 days after 5 years of service",131
"are electrical boxes, electrical wires, switches and plugs properly installed, grounded, and maintained",131
does the employer keep working time records that reflect the hours actually worked,129
"does the employer comply with legal requirements related to work subject to strict
occupational safety requirements",123
do resigned or terminated workers receive all other termination benefits required by law,123
does the employer deduct union dues from wages in accordance with legal requirements,120
do the disciplinary measures comply with the company's by-laws approved by the ministry of labor,119
does the employer pay workers a 13th month of wages,119
do steam generating machine operators have valid licenses,119
is overtime limited to three hours per day and nine hours per week,119
does the employer deduct union dues from workers' wages at their (voluntary) request,119
does the employer provide breastfeeding workers with required time off for breastfeeding breaks,119
does the employer pay 2% of the gross payroll to inatec,119
does the employer provide a weekly rest day after six consecutive days of work,119
are the noise levels acceptable,119
does the employer obtain prior authorization to work overtime from the ministry of labor when required,119
do the employment contracts specify the terms and conditions of employment relation,119
does the employer have an osh license,119
does the employer pay workers 100% more than their normal wage for all overtime hours worked on weekly rest days,119
has the employer set up a joint worker/management osh committee,119
does the factory require contractors and sub-contractors to comply with osh standards,119
does the employer pay workers correctly for annual leave (vacation),119
has the employer elaborated an osh training program,119
has the employer elaborated and implemented an emergency plan,119
do the internal by-laws comply with legal requirements,119
"has the employer designated a person exclusively devoted to osh promotion, prevention and protection",119
"has the employer done an initial industrial hygiene risk assessment, a risk map, and annual risk assessments",119
does the employer consult with the union when required by a collective agreement,119
does the employer provide information on the chemicals and hazardous substances used in the workplace to the ministry of labour,119
does the employer report both accidents and non-occurrences to the ministry of labor,119
does the employer pay at least minimum wages for regular hours of work to regular full time workers,117
does the employer have updated osh technical organizational regulations (tor) that are approved by the ministry of labor,117
"has the employer taken action to, prevent and limit workers' exposure to chemicals and hazardous substances",117
does the employer pay at least minimum wage for temporary and probationary workers,117
does the steam generator comply with legal requirements,117
"do workers who resign or are terminated receive severance based on years of service, unused annual leave, the accumulated 13th month payment, and any other legally required benefits",117
do workers know and understand the terms and conditions of their employment,117
do the employment contracts comply with other legal requirements,117
"does the employer record and investigate work-related accidents and illnesses, and indicate the technical recommendations necessary to prevent them",117
are workers effectively trained and encouraged to properly use the personal protective equipment and machines,117
does the employer provide required time off for paternity leave,117
does the employer pay the correct percentage of workers' total wages to the nicaraguan social security institute,117
does the employer comply with requirements to collect and forward workers' contributions to social insurance funds,117
does the employer pay workers correctly when they take time off for paternity leave,117
are floors and corridors in line with legal requirements,117
does the employer record work-related accidents and illnesses,117
does the employer pay workers correctly during 2 breaks of 30mn or 3 break of 15 mn for breastfeeding,114
are proper guards installed and maintained on all dangerous parts of machines and equipment,106
does the employer pay workers correctly for weekly rest days,101
"if union labour committee is formed, does employer meet worker representatives on a regular basis",99
are workers paid within seven days from the date wages become payable in the manner required under the cba,99
has the employer made any unauthorized deductions from wages or other benefits,99
does the employer pay 3% of workers' basic salary to ofatma for work-related accident insurance,82
does the employer give workers at least one day off after 48 hours of work,81
"does the employer post the factory's working hours (for all shifts, and including break times)",81
does the employer obtain authorization from the department of labour before working overtime,80
does the employer obtain authorization from the department of labour before working on sundays,80
does the employer pay 3% of workers' salary to ofatma for work-related accident insurance,79
does the employer provide 3 months for sick leave to the worker due to inability to work attested by a medical statement,79
does the employer provide at least 12 weeks of maternity leave,79
do workers receive the health cards within the first 3 months of hiring,79
do workers have a medical check within the first three months of hiring,77
"does the employer record, investigate and report work-related accidents and diseases to the local manpower office",64
is the temperature and ventilation aceptable,64
does the factory have an osh committee and assign accountability at all levels of management for carrying out health and safety responsibilities,64
does the employer pay workers 100% more than their normal wage for all for all ordinary overtime hours worked,64
has the employer performed hazard/risk management and control and conducted regular reviews of occupational safety and health performance in the factory,64
does the workplace have all required facilities?rea,64
"does the employer pay workers correctly for all overtime hours worked, including overtime on regular working days, public holidays, and weekly rest days",64
does the employer pay at least 500 gourdes per day for ordinary hours of work to all fulltime workers,61
are eligle workers paid correctly for maternity leave,60
does the employer pay any workers incorrectly for any types of paid time off (breaks and leave),60
are eligle workers paid correctly for sick leave,60
is the temperature and ventilation acceptable,53
"are electrical wires, cables, switches, plugs, and equipment (e.g. transformer, generator, electrical panel, circuit breakers) properly installed, grounded (for equipment), and maintained",53
does the workplace have all required personal storage lockers and dressing rooms,53
does the workplace have adequate kitchen and dining areas,53
does the employer pay at least 350 gourdes per day for ordinary hours of work to all fulltime workers,30
"does the employer terminate workers due to the worker's pregnancy, maternity leave, or nursing of a child under 12 months of age or force them to resign",27
"has the employer been involved in or tried to interfere with, manipulate, or control the union(s)",27
does the employer pay at least 300 gourdes per day for ordinary hours of work to all fulltime workers,26
does the employer pay at least 240 gourdes per day for ordinary hours of work to all full time workers,24
does the employer have a written policy and plans for osh programs,21
has the employer provided rescue and first-aid training for workers,18
does the employer pay all workers other than piece rate workers double for all overtime hours worked on regular work days,18
does the employer provide workers 11 festival holidays per year (or compensatory and substitute holidays when workers work on festival holidays),18
"if a provident fund has been established, does the employer collect and deposit workers' contributions into the fund",18
does the employer pay the required amount each year into the workers' participation fund,18
do workers receive required distributions from the workers' participation fund,18
does the employer provide terminated workers their provident funds (if applicable),18
"do all workers (other than apprentices, badli or casual workers) have a service book",18
does the employer pay the required amount each year into the welfare fund and workers’ welfare foundation fund,18
does the employer comply with other wage payments,18
are the welfare fund and workers’ welfare foundation fund used in the manner determined by the fund board of trustees,18
has the employer trained at least 80% of workers to use the fire-fighting equipment,18
has the factory submitted a notice to the chief inspector before starting operations,18
"are the emergency exits unlocked during working hours, including overtime",12
"are the emergency exits accessible and unobstructed during working hours, including overtime",12
does the employer pay at least 240 gourdes (300 as of 01 may 2016) per day for ordinary hours of work to all fulltime workers,9
has the employer not renewed a worker's employment contract due to the worker's union membership or activities,7
"does the employer pay at least 225 gourdes (240 gourdes as of may 1st, 2015) per day for ordinary hours of work to all full time workers",6
"does the employer pay at least 200 gourdes (225 gourdes as of may 1st, 2014) per day for ordinary hours of work to all full time workers",5
do workers have chairs with backrests,5
are workers effectively trained and encouraged to use the personal protective equipment that is provided,5
does the employer force workers to work more than 80 hours of overtime per trimester by threatening dismissal or other action that would reduce their future income,5
does the employer forward workers contributions to ona,5
do workers have a medical check within the first three months of hiring and annual medical checks,5
does the employer pay workers 100% more than their normal wage for all ordinary overtime hours worked,2
does the employer pay at least minimum wage for regular hours of work to regular full time workers,2
do workers have suitable chairs,2
